date,developer,commits,bugs,total_commits,total_bugs,hr
200305,tigger,,9,0,9,developer
200306,tigger,,29,0,38,developer
200307,tigger,15,7,15,45,developer
200308,tigger,20,4,35,49,developer
200309,tigger,30,16,65,65,developer
200310,tigger,11,1,76,66,developer
200311,tigger,16,1,92,67,developer
200312,tigger,13,2,105,69,developer
200401,tigger,10,5,115,74,developer
200402,tigger,32,5,147,79,developer
200404,tigger,9,,156,79,developer
200405,tigger,,1,156,80,developer
200406,tigger,,1,156,81,developer
200407,tigger,79,19,235,100,developer
200408,tigger,27,1,262,101,developer
200409,tigger,50,2,312,103,developer
200410,tigger,6,2,318,105,developer
200411,tigger,27,2,345,107,developer
200412,tigger,4,5,349,112,developer
200501,tigger,6,4,355,116,developer
200502,tigger,18,,373,116,developer
200503,tigger,37,7,410,123,developer
200504,tigger,10,,420,123,developer
200505,tigger,1,,421,123,developer
200506,tigger,13,1,434,124,developer
200507,tigger,26,1,460,125,developer
200508,tigger,41,5,501,130,developer
200509,tigger,9,1,510,131,developer
200510,tigger,,1,510,132,developer
200512,tigger,,1,510,133,developer
200602,tigger,,1,510,134,developer
200603,tigger,2,,512,134,developer
200604,tigger,,1,512,135,developer
200605,tigger,,,512,135,retired
200310,deathwing00,,5,0,5,recruit
200311,deathwing00,,1,0,6,recruit
200401,deathwing00,,3,0,9,recruit
200403,deathwing00,,1,0,10,recruit
200406,deathwing00,,1,0,11,recruit
200407,deathwing00,,1,0,12,recruit
200408,deathwing00,,5,0,17,recruit
200501,deathwing00,,1,0,18,recruit
200502,deathwing00,,5,0,23,recruit
200503,deathwing00,,2,0,25,recruit
200504,deathwing00,,5,0,30,recruit
200506,deathwing00,,1,0,31,recruit
200507,deathwing00,,2,0,33,developer
200508,deathwing00,2,,2,33,developer
200509,deathwing00,2,1,4,34,developer
200603,deathwing00,1,,5,34,developer
200604,deathwing00,97,13,102,47,developer
200606,deathwing00,7,2,109,49,developer
200607,deathwing00,13,9,122,58,developer
200608,deathwing00,73,16,195,74,developer
200609,deathwing00,447,34,642,108,developer
200610,deathwing00,150,30,792,138,developer
200611,deathwing00,51,15,843,153,developer
200612,deathwing00,54,4,897,157,developer
200701,deathwing00,33,10,930,167,developer
